,idno,agea,rlgdgr,polintr,sclmeet,happy,cntry,nwspol,pplfair,health,atchctr,aesfdrk,dscrgrp,pray,hhmmb,gndr,impdiffa,impfuna,impsafea,iphlppla,ipsucesa,enjlf,fltdpr,fltlnl,slprl,dosprt,cgtsmok,alcfreq,height,weighta,fnsdfml,cnfpplh,paccnt,emplrel,hincfel,uempla,actrolga,cptppola,trstprl,trstlgl,trstplc,trstplt,vote,stfeco,stfdem,stfedu
6538,56967,30.0,2.0,2.0,4.0,7.0,DE,30.0,8.0,2.0,5.0,1.0,0.0,7.0,4.0,1,4.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,4.0,187.0,115.0,5.0,4.0,0.0,1.0,1.0,0.0,2.0,3.0,6.0,9.0,7.0,5.0,1.0,6.0,9.0,6.0
6539,56987,41.0,7.0,3.0,7.0,10.0,DE,10.0,2.0,1.0,5.0,3.0,0.0,1.0,6.0,1,2.0,4.0,5.0,1.0,2.0,4.0,1.0,1.0,2.0,7.0,6.0,7.0,182.0,97.0,5.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,5.0,5.0,8.0,10.0,3.0,9.0,8.0,2.0
6540,56992,62.0,10.0,1.0,7.0,10.0,DE,15.0,8.0,2.0,9.0,1.0,0.0,1.0,2.0,0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,7.0,5.0,5.0,165.0,62.0,5.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,7.0,9.0,9.0,3.0,1.0,3.0,4.0,9.0
6541,57041,25.0,5.0,3.0,2.0,5.0,DE,60.0,7.0,4.0,5.0,3.0,1.0,7.0,2.0,1,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,7.0,181.0,104.0,2.0,5.0,0.0,1.0,3.0,0.0,1.0,3.0,4.0,5.0,8.0,2.0,3.0,4.0,3.0,2.0
6542,57066,65.0,1.0,3.0,3.0,5.0,DE,743.0,5.0,4.0,5.0,3.0,0.0,7.0,1.0,1,2.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,179.0,105.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0
6543,57077,83.0,6.0,1.0,3.0,8.0,DE,210.0,8.0,3.0,10.0,1.0,0.0,4.0,2.0,1,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,4.0,1.0,180.0,75.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,8.0,8.0,5.0,1.0,7.0,8.0,3.0
6545,57092,86.0,0.0,1.0,6.0,8.0,DE,894.0,8.0,2.0,8.0,2.0,0.0,6.0,2.0,0,6.0,5.0,3.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,6.0,6.0,158.0,59.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,9.0,9.0,5.0,1.0,4.0,8.0,3.0
6546,57097,68.0,2.0,2.0,5.0,8.0,DE,60.0,5.0,4.0,9.0,3.0,0.0,7.0,2.0,0,5.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,166.0,65.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,4.0,8.0,9.0,5.0,1.0,5.0,3.0,0.0
6547,57123,84.0,3.0,2.0,3.0,8.0,DE,90.0,8.0,2.0,8.0,2.0,0.0,5.0,2.0,1,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,6.0,4.0,3.0,180.0,80.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,9.0,9.0,10.0,5.0,1.0,8.0,9.0,8.0
6548,57139,41.0,5.0,1.0,5.0,8.0,DE,10.0,9.0,2.0,9.0,2.0,0.0,1.0,5.0,1,4.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,174.0,55.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,9.0,10.0,8.0,8.0,3.0,6.0,9.0,7.0
6549,57151,73.0,0.0,1.0,6.0,8.0,DE,120.0,6.0,4.0,8.0,2.0,0.0,7.0,2.0,1,2.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,172.0,90.0,4.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,8.0,8.0,4.0,1.0,5.0,3.0,4.0
6550,57176,65.0,10.0,3.0,3.0,9.0,DE,75.0,2.0,3.0,10.0,1.0,0.0,1.0,1.0,1,6.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,6.0,170.0,70.0,3.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0
6551,57179,63.0,3.0,1.0,4.0,10.0,DE,30.0,9.0,2.0,10.0,1.0,0.0,7.0,1.0,1,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,195.0,120.0,3.0,3.0,1.0,1.0,2.0,0.0,4.0,3.0,5.0,5.0,8.0,0.0,1.0,8.0,9.0,0.0
